text,intent
open application number 612,OPEN_APP
open application number 562,OPEN_APP
open file number 471,OPEN_FILE
get time request number 557,GET_TIME
open application number 1367,OPEN_APP
search query number 1366,WEB_SEARCH
search query number 833,WEB_SEARCH
open application number 736,OPEN_APP
search query number 283,WEB_SEARCH
get time request number 797,GET_TIME
get time request number 716,GET_TIME
get time request number 693,GET_TIME
open application number 811,OPEN_APP
open file number 147,OPEN_FILE
unmute command number 594,UNMUTE
open file number 740,OPEN_FILE
get time request number 196,GET_TIME
get time request number 925,GET_TIME
general conversation number 857,GENERAL_CONVERSATION
general conversation number 581,GENERAL_CONVERSATION
search query number 1062,WEB_SEARCH
general conversation number 227,GENERAL_CONVERSATION
mute command number 106,MUTE
open application number 313,OPEN_APP
general conversation number 1177,GENERAL_CONVERSATION
open file number 1339,OPEN_FILE
open file number 655,OPEN_FILE
general conversation number 995,GENERAL_CONVERSATION
unmute command number 375,UNMUTE
open application number 648,OPEN_APP
open application number 178,OPEN_APP
mute command number 896,MUTE
get time request number 9,GET_TIME
get time request number 355,GET_TIME
open application number 1079,OPEN_APP
general conversation number 1159,GENERAL_CONVERSATION
general conversation number 1163,GENERAL_CONVERSATION
open file number 864,OPEN_FILE
general conversation number 1285,GENERAL_CONVERSATION
open application number 119,OPEN_APP
open file number 228,OPEN_FILE
general conversation number 690,GENERAL_CONVERSATION
unmute command number 161,UNMUTE
general conversation number 765,GENERAL_CONVERSATION
search query number 698,WEB_SEARCH
unmute command number 486,UNMUTE
get time request number 1194,GET_TIME
search query number 1252,WEB_SEARCH
get time request number 1066,GET_TIME
open file number 977,OPEN_FILE
unmute command number 864,UNMUTE
unmute command number 650,UNMUTE
general conversation number 1230,GENERAL_CONVERSATION
mute command number 350,MUTE
open application number 1027,OPEN_APP
mute command number 1345,MUTE
open application number 669,OPEN_APP
mute command number 785,MUTE
mute command number 127,MUTE
mute command number 507,MUTE
general conversation number 906,GENERAL_CONVERSATION
get time request number 1342,GET_TIME
general conversation number 795,GENERAL_CONVERSATION
open application number 1087,OPEN_APP
unmute command number 1148,UNMUTE
mute command number 58,MUTE
mute command number 396,MUTE
search query number 1231,WEB_SEARCH
mute command number 1157,MUTE
unmute command number 212,UNMUTE
open application number 1290,OPEN_APP
open file number 1145,OPEN_FILE
general conversation number 150,GENERAL_CONVERSATION
general conversation number 183,GENERAL_CONVERSATION
open file number 528,OPEN_FILE
search query number 325,WEB_SEARCH
open file number 794,OPEN_FILE
unmute command number 455,UNMUTE
general conversation number 263,GENERAL_CONVERSATION
mute command number 573,MUTE
get time request number 618,GET_TIME
unmute command number 1321,UNMUTE
open file number 1390,OPEN_FILE
get time request number 690,GET_TIME
mute command number 1154,MUTE
search query number 468,WEB_SEARCH
open file number 1024,OPEN_FILE
get time request number 120,GET_TIME
open application number 826,OPEN_APP
open application number 1074,OPEN_APP
search query number 353,WEB_SEARCH
general conversation number 258,GENERAL_CONVERSATION
get time request number 551,GET_TIME
unmute command number 1102,UNMUTE
get time request number 1156,GET_TIME
open application number 116,OPEN_APP
get time request number 596,GET_TIME
get time request number 63,GET_TIME
unmute command number 1214,UNMUTE
general conversation number 1167,GENERAL_CONVERSATION
mute command number 347,MUTE
open file number 574,OPEN_FILE
get time request number 10,GET_TIME
open file number 1349,OPEN_FILE
unmute command number 430,UNMUTE
mute command number 25,MUTE
general conversation number 459,GENERAL_CONVERSATION
mute command number 604,MUTE
get time request number 207,GET_TIME
mute command number 1408,MUTE
get time request number 1426,GET_TIME
get time request number 1377,GET_TIME
general conversation number 431,GENERAL_CONVERSATION
general conversation number 390,GENERAL_CONVERSATION
get time request number 1118,GET_TIME
general conversation number 979,GENERAL_CONVERSATION
open file number 776,OPEN_FILE
general conversation number 1410,GENERAL_CONVERSATION
mute command number 1008,MUTE
get time request number 1368,GET_TIME
open file number 1281,OPEN_FILE
open file number 1295,OPEN_FILE
open file number 342,OPEN_FILE
get time request number 946,GET_TIME
search query number 854,WEB_SEARCH
open application number 4,OPEN_APP
open application number 664,OPEN_APP
search query number 141,WEB_SEARCH
open application number 1401,OPEN_APP
get time request number 1356,GET_TIME
general conversation number 295,GENERAL_CONVERSATION
mute command number 332,MUTE
general conversation number 787,GENERAL_CONVERSATION
open application number 833,OPEN_APP
search query number 28,WEB_SEARCH
open file number 811,OPEN_FILE
general conversation number 733,GENERAL_CONVERSATION
search query number 587,WEB_SEARCH
get time request number 298,GET_TIME
mute command number 690,MUTE
search query number 238,WEB_SEARCH
search query number 1129,WEB_SEARCH
search query number 419,WEB_SEARCH
general conversation number 1109,GENERAL_CONVERSATION
general conversation number 970,GENERAL_CONVERSATION
search query number 1227,WEB_SEARCH
search query number 941,WEB_SEARCH
search query number 1211,WEB_SEARCH
open file number 177,OPEN_FILE
search query number 650,WEB_SEARCH
general conversation number 279,GENERAL_CONVERSATION
search query number 156,WEB_SEARCH
open application number 1233,OPEN_APP
general conversation number 1205,GENERAL_CONVERSATION
unmute command number 69,UNMUTE
general conversation number 1010,GENERAL_CONVERSATION
search query number 351,WEB_SEARCH
general conversation number 756,GENERAL_CONVERSATION
get time request number 499,GET_TIME
mute command number 810,MUTE
open application number 961,OPEN_APP
general conversation number 246,GENERAL_CONVERSATION
general conversation number 461,GENERAL_CONVERSATION
mute command number 84,MUTE
search query number 694,WEB_SEARCH
search query number 146,WEB_SEARCH
open application number 1317,OPEN_APP
unmute command number 995,UNMUTE
mute command number 702,MUTE
unmute command number 466,UNMUTE
unmute command number 614,UNMUTE
mute command number 1404,MUTE
get time request number 344,GET_TIME
open file number 1192,OPEN_FILE
mute command number 1020,MUTE
mute command number 945,MUTE
get time request number 1080,GET_TIME
general conversation number 735,GENERAL_CONVERSATION
mute command number 673,MUTE
open application number 1352,OPEN_APP
unmute command number 1236,UNMUTE
search query number 1232,WEB_SEARCH
open application number 656,OPEN_APP
mute command number 434,MUTE
general conversation number 321,GENERAL_CONVERSATION
search query number 709,WEB_SEARCH
open file number 89,OPEN_FILE
unmute command number 962,UNMUTE
get time request number 938,GET_TIME
search query number 394,WEB_SEARCH
unmute command number 735,UNMUTE
mute command number 280,MUTE
unmute command number 258,UNMUTE
search query number 380,WEB_SEARCH
get time request number 1232,GET_TIME
open file number 641,OPEN_FILE
search query number 498,WEB_SEARCH
search query number 862,WEB_SEARCH
general conversation number 56,GENERAL_CONVERSATION
get time request number 605,GET_TIME
unmute command number 799,UNMUTE
open file number 1143,OPEN_FILE
search query number 1213,WEB_SEARCH
get time request number 885,GET_TIME
mute command number 1194,MUTE
search query number 1042,WEB_SEARCH
open application number 377,OPEN_APP
open file number 846,OPEN_FILE
search query number 584,WEB_SEARCH
unmute command number 6,UNMUTE
open file number 903,OPEN_FILE
open application number 206,OPEN_APP
mute command number 24,MUTE
mute command number 878,MUTE
search query number 1397,WEB_SEARCH
general conversation number 593,GENERAL_CONVERSATION
open application number 860,OPEN_APP
search query number 456,WEB_SEARCH
general conversation number 558,GENERAL_CONVERSATION
general conversation number 1294,GENERAL_CONVERSATION
open file number 622,OPEN_FILE
open application number 1217,OPEN_APP
unmute command number 143,UNMUTE
mute command number 272,MUTE
general conversation number 677,GENERAL_CONVERSATION
mute command number 554,MUTE
get time request number 227,GET_TIME
open application number 126,OPEN_APP
get time request number 206,GET_TIME
mute command number 886,MUTE
search query number 1317,WEB_SEARCH
search query number 831,WEB_SEARCH
unmute command number 1408,UNMUTE
open file number 1046,OPEN_FILE
open file number 201,OPEN_FILE
general conversation number 1313,GENERAL_CONVERSATION
get time request number 544,GET_TIME
unmute command number 963,UNMUTE
open file number 1360,OPEN_FILE
open application number 388,OPEN_APP
get time request number 462,GET_TIME
search query number 605,WEB_SEARCH
open file number 796,OPEN_FILE
unmute command number 445,UNMUTE
unmute command number 1312,UNMUTE
open file number 623,OPEN_FILE
get time request number 975,GET_TIME
unmute command number 2,UNMUTE
general conversation number 900,GENERAL_CONVERSATION
search query number 364,WEB_SEARCH
get time request number 524,GET_TIME
open file number 1240,OPEN_FILE
open file number 91,OPEN_FILE
open file number 208,OPEN_FILE
unmute command number 585,UNMUTE
general conversation number 1002,GENERAL_CONVERSATION
unmute command number 899,UNMUTE
general conversation number 715,GENERAL_CONVERSATION
search query number 656,WEB_SEARCH
open file number 1291,OPEN_FILE
open file number 778,OPEN_FILE
unmute command number 480,UNMUTE
open file number 1092,OPEN_FILE
get time request number 1188,GET_TIME
unmute command number 989,UNMUTE
unmute command number 527,UNMUTE
search query number 1417,WEB_SEARCH
general conversation number 1182,GENERAL_CONVERSATION
unmute command number 588,UNMUTE
open file number 433,OPEN_FILE
general conversation number 207,GENERAL_CONVERSATION
open file number 1294,OPEN_FILE
mute command number 37,MUTE
get time request number 1024,GET_TIME
mute command number 555,MUTE
search query number 716,WEB_SEARCH
unmute command number 424,UNMUTE
general conversation number 180,GENERAL_CONVERSATION
unmute command number 371,UNMUTE
unmute command number 285,UNMUTE
general conversation number 185,GENERAL_CONVERSATION
search query number 954,WEB_SEARCH
open file number 1267,OPEN_FILE
get time request number 678,GET_TIME
open application number 382,OPEN_APP
open file number 218,OPEN_FILE
search query number 908,WEB_SEARCH
search query number 637,WEB_SEARCH
general conversation number 393,GENERAL_CONVERSATION
search query number 609,WEB_SEARCH
open application number 1384,OPEN_APP
open application number 1166,OPEN_APP
get time request number 774,GET_TIME
search query number 1229,WEB_SEARCH
search query number 1226,WEB_SEARCH
mute command number 903,MUTE
general conversation number 779,GENERAL_CONVERSATION
open file number 490,OPEN_FILE
open application number 582,OPEN_APP
open file number 506,OPEN_FILE
unmute command number 211,UNMUTE
open application number 895,OPEN_APP
unmute command number 1338,UNMUTE
unmute command number 348,UNMUTE
unmute command number 110,UNMUTE
unmute command number 298,UNMUTE
general conversation number 328,GENERAL_CONVERSATION
get time request number 32,GET_TIME
open file number 565,OPEN_FILE
get time request number 677,GET_TIME
mute command number 756,MUTE
open application number 967,OPEN_APP
unmute command number 1363,UNMUTE
unmute command number 904,UNMUTE
open file number 720,OPEN_FILE
open application number 134,OPEN_APP
search query number 547,WEB_SEARCH
general conversation number 272,GENERAL_CONVERSATION
open file number 169,OPEN_FILE
get time request number 941,GET_TIME
general conversation number 61,GENERAL_CONVERSATION
open application number 889,OPEN_APP
open file number 499,OPEN_FILE
mute command number 324,MUTE
general conversation number 691,GENERAL_CONVERSATION
open application number 1149,OPEN_APP
open file number 1227,OPEN_FILE
get time request number 101,GET_TIME
open file number 921,OPEN_FILE
mute command number 741,MUTE
open application number 417,OPEN_APP
mute command number 913,MUTE
search query number 370,WEB_SEARCH
open file number 238,OPEN_FILE
general conversation number 580,GENERAL_CONVERSATION
get time request number 456,GET_TIME
search query number 357,WEB_SEARCH
unmute command number 734,UNMUTE
unmute command number 844,UNMUTE
mute command number 380,MUTE
open application number 1408,OPEN_APP
mute command number 828,MUTE
unmute command number 230,UNMUTE
open file number 521,OPEN_FILE
unmute command number 974,UNMUTE
open application number 708,OPEN_APP
unmute command number 972,UNMUTE
search query number 1389,WEB_SEARCH
unmute command number 1410,UNMUTE
open application number 1115,OPEN_APP
mute command number 358,MUTE
search query number 209,WEB_SEARCH
general conversation number 465,GENERAL_CONVERSATION
open application number 318,OPEN_APP
mute command number 511,MUTE
unmute command number 976,UNMUTE
search query number 994,WEB_SEARCH
mute command number 712,MUTE
mute command number 465,MUTE
open application number 768,OPEN_APP
mute command number 1384,MUTE
mute command number 1193,MUTE
get time request number 287,GET_TIME
mute command number 921,MUTE
general conversation number 571,GENERAL_CONVERSATION
mute command number 113,MUTE
general conversation number 1343,GENERAL_CONVERSATION
general conversation number 1274,GENERAL_CONVERSATION
unmute command number 1144,UNMUTE
mute command number 849,MUTE
get time request number 244,GET_TIME
general conversation number 226,GENERAL_CONVERSATION
open file number 1343,OPEN_FILE
mute command number 406,MUTE
get time request number 629,GET_TIME
get time request number 651,GET_TIME
mute command number 497,MUTE
open application number 274,OPEN_APP
unmute command number 489,UNMUTE
unmute command number 819,UNMUTE
open application number 581,OPEN_APP
general conversation number 649,GENERAL_CONVERSATION
search query number 649,WEB_SEARCH
open application number 425,OPEN_APP
get time request number 180,GET_TIME
open file number 266,OPEN_FILE
get time request number 721,GET_TIME
get time request number 683,GET_TIME
open application number 150,OPEN_APP
open application number 539,OPEN_APP
open file number 1147,OPEN_FILE
get time request number 1116,GET_TIME
open application number 655,OPEN_APP
open file number 1354,OPEN_FILE
mute command number 1172,MUTE
general conversation number 726,GENERAL_CONVERSATION
mute command number 1073,MUTE
get time request number 454,GET_TIME
search query number 1336,WEB_SEARCH
get time request number 1153,GET_TIME
open file number 107,OPEN_FILE
get time request number 1091,GET_TIME
unmute command number 624,UNMUTE
open file number 1004,OPEN_FILE
open application number 122,OPEN_APP
get time request number 1113,GET_TIME
open application number 340,OPEN_APP
mute command number 1171,MUTE
general conversation number 432,GENERAL_CONVERSATION
search query number 1199,WEB_SEARCH
mute command number 452,MUTE
open application number 128,OPEN_APP
general conversation number 638,GENERAL_CONVERSATION
mute command number 1364,MUTE
search query number 887,WEB_SEARCH
search query number 255,WEB_SEARCH
get time request number 508,GET_TIME
search query number 66,WEB_SEARCH
mute command number 333,MUTE
search query number 136,WEB_SEARCH
general conversation number 1180,GENERAL_CONVERSATION
mute command number 1387,MUTE
open file number 932,OPEN_FILE
open file number 944,OPEN_FILE
search query number 872,WEB_SEARCH
unmute command number 537,UNMUTE
get time request number 1291,GET_TIME
general conversation number 613,GENERAL_CONVERSATION
open file number 40,OPEN_FILE
unmute command number 369,UNMUTE
unmute command number 121,UNMUTE
mute command number 1393,MUTE
open application number 37,OPEN_APP
mute command number 401,MUTE
search query number 561,WEB_SEARCH
search query number 568,WEB_SEARCH
general conversation number 277,GENERAL_CONVERSATION
unmute command number 147,UNMUTE
general conversation number 746,GENERAL_CONVERSATION
unmute command number 655,UNMUTE
get time request number 1084,GET_TIME
open file number 1018,OPEN_FILE
unmute command number 929,UNMUTE
open file number 309,OPEN_FILE
open file number 792,OPEN_FILE
mute command number 39,MUTE
open application number 1197,OPEN_APP
open application number 727,OPEN_APP
open application number 168,OPEN_APP
mute command number 245,MUTE
unmute command number 436,UNMUTE
open application number 835,OPEN_APP
search query number 1346,WEB_SEARCH
general conversation number 190,GENERAL_CONVERSATION
search query number 622,WEB_SEARCH
open application number 658,OPEN_APP
mute command number 1023,MUTE
get time request number 1135,GET_TIME
open application number 917,OPEN_APP
mute command number 1427,MUTE
search query number 68,WEB_SEARCH
open application number 806,OPEN_APP
get time request number 582,GET_TIME
open file number 1341,OPEN_FILE
open application number 831,OPEN_APP
open file number 182,OPEN_FILE
open file number 901,OPEN_FILE
mute command number 408,MUTE
open file number 613,OPEN_FILE
open application number 1055,OPEN_APP
open application number 488,OPEN_APP
search query number 1214,WEB_SEARCH
unmute command number 659,UNMUTE
unmute command number 1237,UNMUTE
get time request number 1073,GET_TIME
search query number 665,WEB_SEARCH
mute command number 379,MUTE
open application number 110,OPEN_APP
general conversation number 700,GENERAL_CONVERSATION
mute command number 608,MUTE
mute command number 551,MUTE
open application number 862,OPEN_APP
unmute command number 750,UNMUTE
general conversation number 1340,GENERAL_CONVERSATION
mute command number 116,MUTE
get time request number 104,GET_TIME
mute command number 1219,MUTE
get time request number 393,GET_TIME
general conversation number 1176,GENERAL_CONVERSATION
open file number 1253,OPEN_FILE
get time request number 422,GET_TIME
open file number 25,OPEN_FILE
mute command number 718,MUTE
open application number 960,OPEN_APP
get time request number 638,GET_TIME
general conversation number 660,GENERAL_CONVERSATION
search query number 615,WEB_SEARCH
general conversation number 888,GENERAL_CONVERSATION
unmute command number 1137,UNMUTE
search query number 1255,WEB_SEARCH
search query number 1028,WEB_SEARCH
search query number 245,WEB_SEARCH
search query number 886,WEB_SEARCH
search query number 834,WEB_SEARCH
get time request number 658,GET_TIME
open file number 994,OPEN_FILE
mute command number 1406,MUTE
mute command number 238,MUTE
open file number 1037,OPEN_FILE
unmute command number 1171,UNMUTE
general conversation number 289,GENERAL_CONVERSATION
search query number 1212,WEB_SEARCH
unmute command number 1119,UNMUTE
general conversation number 1043,GENERAL_CONVERSATION
unmute command number 722,UNMUTE
unmute command number 1135,UNMUTE
unmute command number 826,UNMUTE
mute command number 480,MUTE
open file number 71,OPEN_FILE
general conversation number 1057,GENERAL_CONVERSATION
get time request number 93,GET_TIME
get time request number 297,GET_TIME
open file number 288,OPEN_FILE
mute command number 1355,MUTE
search query number 922,WEB_SEARCH
get time request number 896,GET_TIME
unmute command number 337,UNMUTE
search query number 897,WEB_SEARCH
unmute command number 732,UNMUTE
open application number 770,OPEN_APP
general conversation number 242,GENERAL_CONVERSATION
open application number 54,OPEN_APP
mute command number 881,MUTE
open file number 886,OPEN_FILE
search query number 1253,WEB_SEARCH
search query number 269,WEB_SEARCH
general conversation number 1112,GENERAL_CONVERSATION
unmute command number 834,UNMUTE
get time request number 84,GET_TIME
mute command number 1166,MUTE
mute command number 647,MUTE
open application number 379,OPEN_APP
general conversation number 449,GENERAL_CONVERSATION
get time request number 667,GET_TIME
general conversation number 851,GENERAL_CONVERSATION
open application number 1374,OPEN_APP
mute command number 305,MUTE
general conversation number 884,GENERAL_CONVERSATION
search query number 442,WEB_SEARCH
get time request number 203,GET_TIME
open application number 384,OPEN_APP
open file number 411,OPEN_FILE
unmute command number 244,UNMUTE
unmute command number 835,UNMUTE
open application number 1306,OPEN_APP
general conversation number 130,GENERAL_CONVERSATION
general conversation number 1212,GENERAL_CONVERSATION
mute command number 1137,MUTE
mute command number 722,MUTE
mute command number 1356,MUTE
get time request number 29,GET_TIME
mute command number 312,MUTE
general conversation number 657,GENERAL_CONVERSATION
general conversation number 1261,GENERAL_CONVERSATION
search query number 414,WEB_SEARCH
unmute command number 1293,UNMUTE
get time request number 308,GET_TIME
search query number 778,WEB_SEARCH
mute command number 786,MUTE
open file number 546,OPEN_FILE
search query number 1123,WEB_SEARCH
open file number 94,OPEN_FILE
mute command number 336,MUTE
mute command number 720,MUTE
general conversation number 1380,GENERAL_CONVERSATION
unmute command number 1069,UNMUTE
unmute command number 787,UNMUTE
get time request number 2,GET_TIME
mute command number 235,MUTE
general conversation number 1300,GENERAL_CONVERSATION
mute command number 186,MUTE
open file number 575,OPEN_FILE
open application number 117,OPEN_APP
open application number 1068,OPEN_APP
get time request number 1271,GET_TIME
open application number 113,OPEN_APP
mute command number 1333,MUTE
mute command number 382,MUTE
search query number 617,WEB_SEARCH
open file number 824,OPEN_FILE
general conversation number 996,GENERAL_CONVERSATION
open file number 557,OPEN_FILE
mute command number 251,MUTE
mute command number 930,MUTE
open application number 459,OPEN_APP
mute command number 121,MUTE
mute command number 1003,MUTE
general conversation number 402,GENERAL_CONVERSATION
open file number 1272,OPEN_FILE
general conversation number 1359,GENERAL_CONVERSATION
get time request number 25,GET_TIME
general conversation number 527,GENERAL_CONVERSATION
unmute command number 765,UNMUTE
mute command number 671,MUTE
unmute command number 725,UNMUTE
general conversation number 719,GENERAL_CONVERSATION
mute command number 242,MUTE
general conversation number 881,GENERAL_CONVERSATION
unmute command number 1354,UNMUTE
open file number 112,OPEN_FILE
unmute command number 910,UNMUTE
open file number 1314,OPEN_FILE
open file number 1358,OPEN_FILE
get time request number 640,GET_TIME
open file number 612,OPEN_FILE
mute command number 407,MUTE
get time request number 293,GET_TIME
unmute command number 1230,UNMUTE
mute command number 1350,MUTE
general conversation number 1166,GENERAL_CONVERSATION
open application number 1176,OPEN_APP
open application number 392,OPEN_APP
mute command number 738,MUTE
